"Term_ID
[ENGLISH]



Data Type
Integer","Term
[OPERATING LANGUAGE]



Data Type
Character String","Term_Abbreviation
[OPERATING LANGUAGE]


Data Type
Character String

Note - Only if an accepted abbreviation exists","Country code
[ENGLISH]



Data Type
Character String

Note - Only when identifying a national term equivalent","Definition
[OPERATING LANGUAGE]



Data Type
Character String","Term
[OPERATING LANGUAGE - ALTERNATIVE CHARACTER SET]

Data Type
Character String

Note - This field contains the term 
in the operating language but using 
an alternative character set 
(For example, terms written in Korean 
but with Chinese characters). 
Its use is optional. ","Term in English
[ENGLISH]



Data Type
Character String","Entry Status
[OPERATING LANGUAGE]



Data Type
Must be one of 
'notValid'
'valid'
'superseded'
'retired'.","Term Clasification
[OPERATING LANGUAGE]


Data Type
Character String
Must be one of the following
'preferred'
'admitted'
'deprecated'","Review Indicator
[OPERATING LANGUAGE]



Data Type
Character String
Values = empty field or 'Under Review 
in Source Standard')","Authoritative Source
[ENGLISH]


Data Type
Character String","Similarity to Authoritative Source
[ENGLISH]


Data Type
Integer
Must be one of the 
following codes
'identical' = 1
'restyled' = 2
'context added' = 3
'generalisation' = 4
'specialisation' = 5
'unspecified' = 6","Lineage Source
[OPERATING LANGUAGE]


Data Type
Character String","Similarity to Lineage Source
[OPERATING LANGUAGE]

Data Type
Integer
Must be one of the 
following codes
'identical' = 1
'restyled' = 2
'context added' = 3
'generalisation' = 4
'specialisation' = 5
'unspecified' = 6
","Term Synonyms
[OPERATING LANGUAGE]


Data Type
Character String","Date Accepted
[ENGLISH]


Data Type
Date
yyyy-mm-dd","Date Amended
[ENGLISH]


Data Type
Date
yyyy-mm-dd","Review
Date
[ENGLISH]


Data Type
Date
yyyy-mm-dd","Review Status
[OPERATING LANGUAGE]


Data Type
Character String
Must be one of 
'pending'
'tentative'
'final'","Review Type
[OPERATING LANGUAGE]


Data Type
Character String
Must be one of
'supersession', 
'retirement'","Review
Decision
[OPERATING LANGUAGE]

Data Type
Character String
Must be one of
'withdrawn', 
'accepted'
'notAccepted'","Review Decision
Date
[OPERATING LANGUAGE]

Data Type
Date
yyyy-mm-dd","Review Decision
Event
[OPERATING LANGUAGE]

Data Type
Character String","Review Decision
Notes
[OPERATING LANGUAGE]

Data Type
Character String
","Example_1
[OPERATING LANGUAGE]



Data Type
Character String","Note_1
[OPERATING LANGUAGE]



Data Type
Character String","Example_2
[OPERATING LANGUAGE]



Data Type
Character String","Note_2
[OPERATING LANGUAGE]



Data Type
Character String","Example_3
[OPERATING LANGUAGE]



Data Type
Character String","Note_3
[OPERATING LANGUAGE]



Data Type
Character String","Example_4
[OPERATING LANGUAGE]



Data Type
Character String","Note_4
[OPERATING LANGUAGE]



Data Type
Character String","Example_5
[OPERATING LANGUAGE]



Data Type
Character String","Note_5
[OPERATING LANGUAGE]



Data Type
Character String","Example_6
[OPERATING LANGUAGE]



Data Type
Character String","Note_6
[OPERATING LANGUAGE]



Data Type
Character String","Example_7
[OPERATING LANGUAGE]



Data Type
Character String","Note_7
[OPERATING LANGUAGE]



Data Type
Character String","Example_8
[OPERATING LANGUAGE]



Data Type
Character String","Note_8
[OPERATING LANGUAGE]



Data Type
Character String","Glossary
Release
[ENGLISH]


Data Type
Integer
Must be one of the following codes
'release1' = 1
'release1_retired' = -1
'release2' = 2
'release2_retired' = -2
etc
"
129,델로니 삼각 분할,,,삼각형을 구성하는 세 개의 정점을 지나는 원의 내부에 다른 삼각형의 어느 정점도 포함하지 않는 삼각망,,Delaunay triangulation,valid,preferred,,ISO 19123:2005,1,KS X ISO 19123,,,2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,
130,의존 <UML>,,,하나의 모델링 요소(독립 요소)가 변경되었을 때 다른 모델링 요소(종속 요소)에 영향을 미치는 두 모델링 요소 간의 관계,,dependency <UML>,valid,preferred,Being considered for supersession in revision of ISO/TS 19103:2005 (ISO/DIS 19103:2013),ISO/IEC 19501,2,"ISO/TS 19103:2005 ,4.2.12",1,,2009-12-29,,2009-08-31,pending,supersession,,,,,,,,,,,,,,,,,,,,,1
605,깊이,,,선택된 기준면으로부터 직하 방향으로 측정된 한 점까지의 거리,,depth,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,비고: 기준면보다 높이 위치한 지점의 깊이는 음의 값을 갖는다.,,,,,,,,,,,,,,,
661,디지털 항목,,,"표준화된 표현, 식별, 메타데이터 프레임워크를 갖는 구조화된 디지털 객체[자산, 일, 서비스, 데이터 또는 정보]",,digital item,valid,preferred,,ISO/IEC TR 21000-1:2004,1,KS X ISO/IEC TR 21000-1,,,2007-11-29,,,,,,,,,,,,,,,,,,,,,,,,,
133,다익스트라 그래프,,,최단 경로 탐색을 위해 적합하게 설정된 양의 가중 방향 그래프,,Dijkstra graph,valid,preferred,,ISO 19133:2005,1,KS X ISO 19133,,,2006-12-01,,,,,,,,,,"비고: 이 용어는 E. Dijkstra의 논문 중, 양의 가중 그래프 방식으로 최단 거리를 찾는 가장 일반적으로 알려진 알고리듬에서 유래되었다. 이 알고리듬만이 유일하게 사용되지는 않지만, 이 그래프가 요구하는 필요 항목들은 대부분의 알고리듬에서도 동일하게 사용된다. ""양의 가중치""는 필요 항목 중 중요도가 떨어지는 대표적인 것으로 벨만-포드 알고리듬에서는 사용되지 않는다. ",,,,,,,,,,,,,,,
134,직접 평가법,,,데이터셋 내의 항목 검사에 의거한 데이터셋 품질 평가 방법,,direct evaluation method,valid,preferred,,"ISO 19157:2013, 4.10",1,ISO 19114:2003,1,,2009-12-29,,2010-07-09,final,,accepted,2013/12/15,Publication of ISO 19157:2013,Authoritative reference changed from ISO 19114:2003 to ISO 19157:2013. Lineage source added as ISO 19114:2003.,,,,,,,,,,,,,,,,,1
135,직접 위치,,,좌표 참조 체계 내에서 단일 좌표 집합에 의해 기술되는 위치,,direct position,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
136,방향성 변,,,하나의 변과 그 변이 갖는 방향성 간의 연관으로 표현된 방향성 위상 객체,,directed edge,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,방향성 에지,2009-12-29,,,,,,,,,,"비고: 방향성 변은 그 변의 방향과 일치하면 + 방향을, 그렇지 않으면 - 방향을 가진다. 방향성 변은 계산 위상에서 동일한 변의 오른편(-)인지 왼편(+)인지를 구분하기 위해 사용되며, 동일한 변의 시작 절점(-)과 끝 절점(+)을 구분하여 컴퓨터를 이용하는 위상학이 이러한 개념을 표현할 수 있도록 한다. ",,,,,,,,,,,,,,,
137,방향성 면,,,하나의 면과 그 면이 갖는 방향성 간의 연관으로 표현된 방향성 위상 객체,,directed face,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,방향성 페이스,2009-12-29,,,,,,,,,,"비고: 방향성 면의 외부 경계를 구성하는 방향성 변은 벡터의 방향을 따라 양의 값을 갖는다; 위상 입방체를 구성하는 방향성 면의 방향은 위상 입방체에서 멀어지는 방향이다. 인접하는 입방체는 그들이 공유하는 면에 대해 서로 다른 방향성을 가지며, 이는 이웃하는 면과 그들이 공유하는 변들과의 관계와 일치한다. 방향성 면은 면과 변 결합의 공간적 관계를 유지하기 위한 공유 경계 관계에서 이용된다. ",,,,,,,,,,,,,,,
138,방향성 절점,,,하나의 절점과 그 절점이 갖는 방향성 간의 연관으로 표현된 방향성 위상 객체,,directed node,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,"비고: 방향성 절점은 변과 절점 간의 공간적인 관계를 유지하기 위해 공유 경계 측면에서 사용된다. 절점의 방향성은 변에 따르며, ""+""는 끝 절점, ""-""는 시작 절점에 부여된다. 이것은 다음의 벡터 기술법과도 일치한다. ""방향 = 종점 - 시점"".",,,,,,,,,,,,,,,
139,방향성 입방체,,,하나의 위상 입방체와 그 입방체가 갖는 방향성 간의 연관으로 표현된 방향성 위상 객체,,directed solid,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,"비고: 방향성 입방체는 면과 위상 입방체 간의 공간적인 관계를 유지하기 위해 공유 경계 측면에서 사용된다. 입방체의 방향성은 변을 따르며, ""+""는 법선 벡터가 바깥쪽인 경우, ""-""는 안쪽일 경우에 부여된다. 이것은 입방체를 감싸는 표면에서 ""위쪽 = 바깥쪽"" 이라는 개념과도 일치한다. ",,,,,,,,,,,,,,,
140,방향성 위상 객체,,,하나의 위상 원시 객체와 그 위상 원시 객체가 갖는 방향성 간의 연관으로 표현된 위상객체,,directed topological object,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
662,불연속 변환,,,두 개의 알려진 측정값 사이에 어떠한 값도 취하지 않는 속성 값의 변화 ,,discrete change,valid,preferred,,ISO 19132:2007,1,KS X ISO 19132,,,2009-12-29,,,,,,,,,,"비고: 토지 필지의 법적인 변동은 불연속적이며, 특정한 시각에 발생한 경우이다. ",,,,,,,,,,,,,,,
141,불연속 커버리지,,,"동일한 피처(공간 객체, 시간 객체, 시공간 객체) 속성(B.175)의 값이 영역 내 모든 직접 위치에서 동일한 값을 갖는 커버리지",,discrete coverage,valid,preferred,,ISO 19123:2005,1,KS X ISO 19123,,,2007-11-01,,,,,,,,,,"비고: 불연속 커버리지의 영역은 유한한 집합공간, 시간 또는 시공간 객체로 이루어진다. ",,,,,,,,,,,,,,,
663,불연속 시공간객체,,,상이한 시간에 동일한 공간피처를 시간에 따라 기술한 시간연속객체 ,,discrete spatiotemporal object,valid,preferred,,ISO 19132:2007,1,KS X ISO 19132,,,2009-12-29,,,,,,,,,,비고: Theodoridis(1999)를 참조하라.,,,,,,,,,,,,,,,
664,거리 관측,,,"속성 유형은 양수이고, 대칭이며 삼각형의 부등식을 만족시키는 거리 값",,distance measure,valid,preferred,,ISO 19132:2007,1,KS X ISO 19132,,,2009-12-29,,,,,,,,,,"비고: 만일 x≠y이고 d(x,x)=0인 모든 x,y에 대해 d(x,y) > 0 이면 측정 값 ""d""는 양수이다. 모든 x,y에 대해 d(x,y) = d(y,x) 이면 측정 값 ""d""는 대칭이다. 만일 모든 a, x, y 에 대하여 d(x,y) ≤ d(x,a) + d(a,y) 이면 측정 값 ""d""는 삼각형의 부등식을 만족시킨다. 미터법과 같이 모든 숫자 또는 백터 값을 갖는 속성은 각 차원의 차이 값의 제곱의 합에 대한 제곱근을 기초로 한 가장 일반적인 유클리디안 계량법이다. 다른 비유클리디안 계량법에서는 ""공간의 곡률""(회전 타원체의 표면을 따르는)을 고려한다. ",,,,,,,,,,,,,,,
665,거리 관측,,,"속성 유형은 양수이고, 대칭이며 삼각형의 부등식을 만족시키는 거리 값",,distance metric,valid,admitted,,ISO 19132:2007,1,KS X ISO 19132,,,2009-12-29,,,,,,,,,,"비고: 만일 x≠y이고 d(x,x)=0인 모든 x,y에 대해 d(x,y) > 0 이면 측정 값 ""d""는 양수이다. 모든 x,y에 대해 d(x,y) = d(y,x) 이면 측정 값 ""d""는 대칭이다. 만일 모든 a, x, y 에 대하여 d(x,y) ≤ d(x,a) + d(a,y) 이면 측정 값 ""d""는 삼각형의 부등식을 만족시킨다. 미터법과 같이 모든 숫자 또는 백터 값을 갖는 속성은 각 차원의 차이 값의 제곱의 합에 대한 제곱근을 기초로 한 가장 일반적인 유클리디안 계량법이다. 다른 비유클리디안 계량법에서는 ""공간의 곡률""(회전 타원체의 표면을 따르는)을 고려한다. ",,,,,,,,,,,,,,,
143,분산 투명성,,,분산 시스템 일부의 잠재적 행태를 특정 사용자에게 숨기는 특성 ,,distribution transparency,valid,preferred,,ISO/IEC 10746-2,1,KS X ISO/IEC 10746-2,,,2006-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
144,영역,,,잘 정의된 값들의 집합,,domain,valid,preferred,,ISO/TS 19103:2005,1,KS X ISO 19103,,도메인,2009-12-29,,,,,,,,,,"비고: 영역은 속성, 연산자, 함수에 대한 영역 및 범위를 정의하는 데 사용된다. ",,,,,,,,,,,,,,,
145,동향 거리,E,,남북 방향의 기준선으로부터 동쪽(양수) 혹은 서쪽(음수)으로 표시하는 좌표 체계상의 동쪽방향 거리,,easting,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,
146,변,,,1차원의 위상 원시 객체,,edge,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,에지,2009-12-29,,,,,,,,,,비고: 변의 기하 실현은 곡선이다. 변의 경계는 위상 복합체 내에 존재하는 또 다른 변의 한 개 혹은 두 개의 절점 집합이다. ,,,,,,,,,,,,,,,
147,변-절점 그래프,,,변의 집합과 그것에 관련한 연결 절점의 집합으로 나타낼 수 있는 위상 복합체 내에 내재된 그래프,,edge-node graph,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,에지-노드 그래프,2009-12-29,,,,,,,,,,비고: 변-절점 그래프는 그것이 포함된 복합체의 하위 복합체이다.,,,,,,,,,,,,,,,
148,요소 <XML>,,,"자식 요소, 속성 및 문자 데이터 등을 갖는 XML 문서의 기초 정보 항목",,element <XML>,valid,preferred,,ISO 19136:2007,1,KS X ISO 19136,,,2009-12-29,,,,,,,,,,"비고: XML Information Set에서는 ""모든 XML 문서는 start 꼬리표와 end 꼬리표로 범위 지워진 한 개 혹은 여러 개의 요소로 구성되며, 내용이 없는 경우에는 empty 꼬리표를 사용한다. 각각의 요소는 종종 '고유 식별자(GI)'라 불리우며 명칭에 의해 식별되는 유형과 속성 사양 집합을 갖는다. 각각의 속성은 명칭과 값을 갖게 된다. ",,,,,,,,,,,,,,,
149,타원체,,,타원을 한 개의 주축 주위로 회전했을 때에 생성되는 표면,,ellipsoid,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,비고: 본 표준에서 타원체는 항상 그 회전축이 항상 단축인 회전 타원면이다. ,,,,,,,,,,,,,,,
502,타원체 좌표계,,,"타원체고, 측지 경도, 측지 위도를 통해 위치를 표현하는 좌표 체계",,ellipsoidal coordinate system,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,
150,타원체고,h,,"타원체로부터 어떤 점까지의 수직선을 따라 측정된 그 점까지의 거리, 타원체의 위쪽 또는 외측으로 향한 경우는 정(+)으로 표현 ",,ellipsoidal height,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,"비고: 3차원 타원체 좌표계의 일부로 사용되며, 독립적으로 사용되지 않는다.",,,,,,,,,,,,,,,
503,타원체 위도,j,,"타원체상의 어떤 점을 통과하는 수직선과 적도면과의 각도로서, 북으로 향하는 것을 정(+)으로 함",,ellipsoidal latitude,valid,admitted,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,
504,타원체 경도,l,,"본초 자오선면으로부터 어떤 점의 자오선면까지의 각도로서, 동으로 향하는 것을 정(+)으로 함",,ellipsoidal longitude,valid,admitted,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,
151,부호화,,,데이터를 일련의 코드로 전환하는 것,,encoding,valid,preferred,,"ISO 19118:2011, 4.13",1,ISO 19118:2005,1,인코딩,2008-12-30,,2007-01-23,final,,accepted,2011/10/15,Publication of ISO 19118:2011,Authoritative reference changed from ISO 19118:2005 to ISO 19118:2011. Lineage source added as ISO 19118:2005.,,,,,,,,,,,,,,,,,1
152,부호화 규칙,,,특정 데이터 구조로의 부호화를 정의하는 식별 가능한 전환 규칙의 모음,,encoding rule,valid,preferred,,"ISO 19118:2011, 4.14",1,ISO 19118:2005,1,인코딩 규칙,2008-12-30,,2007-01-23,final,,accepted,2011/10/15,Publication of ISO 19118:2011,Authoritative reference changed from ISO 19118:2005 to ISO 19118:2011. Lineage source added as ISO 19118:2005.,"보기: XML, ISO 10303-21, ISO/IEC 8211","비고: 부호화 규칙은 결과 데이터 구조에 사용되는 구문법, 구조, 코드 뿐만 아니라 변환된 데이터 형식들을 상세하게 정의한다.",,,,,,,,,,,,,,,1
153,부호화 서비스,,,부호화 규칙을 제공하는 소프트웨어 컴포넌트,,encoding service,valid,preferred,,"ISO 19118:2011, 4.15",1,ISO 19118:2005,1,인코딩 서비스,2008-12-30,,2007-01-23,final,,accepted,2011/10/15,Publication of ISO 19118:2011,Authoritative reference changed from ISO 19118:2005 to ISO 19118:2011. Lineage source added as ISO 19118:2005.,,,,,,,,,,,,,,,,,1
154,끝 절점,,,변이 포함된 위상 복합체의 유효한 기하 실현에서 곡선의 끝점에 대응되는 경계 절점,,end node,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
155,끝점,,,곡선의 마지막 점,,end point,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
706,공학 좌표계,,,공학 데이텀에 기반한 좌표 참조 체계,,engineering coordinate reference system,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,보기: 지역적 공학 및 구조적 격자; 항해나 비행을 위한 지역적 좌표 참조 체계 ,,,,,,,,,,,,,,,,
156,공학 데이텀,,,지역 참조와 좌표 체계간의 관계를 설명하는 지역 데이텀,,engineering datum,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,보기: 참조 점에서 몇 km이내의 상대 위치를 인식하기 위한 시스템,비고: 공학 데이텀은 측지 원점 및 수직 데이텀 모두를 배제한다.,,,,,,,,,,,,,,,
157,공학 관점,,,시스템에서 객체들 간의 분산 상호 작용을 위해 요구되는 함수와 메카니즘에 초점을 둔 개방형 분산 처리 시스템과 그 환경에 대한 관점,,engineering viewpoint,valid,preferred,,ISO/IEC 10746-3:1996,1,KS X ISO 19119,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
158,전사적 관점,,,"시스템의 용도와 범위, 정책 측면에 초점을 둔 개방형 분산 처리 시스템과 그 환경에 대한 관점",,enterprise viewpoint,valid,preferred,,ISO/IEC 10746-3:1996,1,KS X ISO 19119,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
738,오류,,,논의의 영역과의 불일치,,error,retired,,,"ISO/TS 19138:2006, 4.4",1,,,에러,2007-11-01,2013/12/15,2013-12-15,final,retirement,accepted,2013/12/15,Publication of ISO 19157:2013,The entry has been omitted from the superseding standard  (ISO 19157:2013).,,,,,,,,,,,,,,,,,-1
159,산출 <커버리지>,,,커버리지 영역 내의 직접 위치에서 커버리지 값의 결정,,evaluation<coverage>,valid,preferred,,ISO 19123:2005,1,KS X ISO 19123,,,2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,
160,사건,,,어떤 인스턴트에 일어나는 행위,,event,valid,preferred,,ISO 19108;2002,1,KS X ISO 19108,,이벤트,2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,
161,실행 가능 시험 케이스,,,특정 요구 사항을 만족하는 구현 시험 ,,executable test case,valid,preferred,,ISO 19105:2000,1,KS X ISO 19105,,,2007-06-29,,,,,,,,,,비고: 추상 시험 케이스를 값을 통해 실체화 시킴,,,,,,,,,,,,,,,
162,실행 가능 시험 스위트,ETS,,실행 가능 시험 케이스의 집합,,executable test suite,valid,preferred,,ISO 19105:2000,1,KS X ISO 19105,,,2007-06-29,,,,,,,,,,,,,,,,,,,,,,,,,
163,외부,,,전체 집합으로부터 경계 및 내부를 제거한 차집합 ,,exterior,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,비고: 외부의 개념은 위상 복합체와 기하 복합체 모두에 적용 가능하다.,,,,,,,,,,,,,,,
164,외부 함수,,,응용스키마 내부에 포함되지 않는 함수,,external function,retired,,,"ISO 19117:2005, 4.5",1,,,,2006-05-01,2012/12/15,2012-12-15,final,retirement,accepted,2012/12/15,Publication of ISO 19117:2012,The entry has been omitted from the superseding standard  (ISO 19117:2012).,,비고: 차량 내비게이션 시스템의 전자 지도는 차량의 진행 방향이 항상 지도의 위쪽 방향으로 표시되어야 한다. 지도의 회전을 위하여 차량의 현재 위치는 외부 함수를 사용하는 외부 측위 장치를 통해 지속적으로 갱신되어야 한다.,,,,,,,,,,,,,,,-1
165,면,,,2차원의 위상 원시 객체,,face,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,페이스,2009-12-29,,,,,,,,,,"비고: 면의 기하 실현은 표면이다. 면의 경계는 동일한 위상 복합체내에 있는 방향성 변의 집합으로, 경계 관계를 통해 면으로 결합된다. 이것은 링으로 결성된다.",,,,,,,,,,,,,,,
166,실패 판정,,,부적합으로 보고된 시험 판정,,fail verdict,valid,preferred,,ISO 19105:2000,1,KS X ISO 19105,,,2007-06-29,,,,,,,,,,비고: 부적합은 시험목적 또는 최소한 관련 표준의 적합성 요구 사항 중 하나와 관련이 있다.,,,,,,,,,,,,,,,
167,오류 검증 시험,,,구현 결과물에 대한 오류를 찾기 위한 시험 ,,falsification test,valid,preferred,,ISO 19105:2000,1,KS X ISO 19105,,,2007-06-29,,,,,,,,,,"비고: 오류가 발견되면, 표준에 맞게 구현되었는지 정확히 추론할 수 있다. 그러나 에러가 발견되지 않는 경우가 반드시 그 반대의 경우를 의미하는 것은 아니다. 반증 시험은 부적합 여부만을 판별할 수 있다. 검증 시험과 비교하라. 대부분의 경우 기술 및 경제적 문제로 인해 반증 시험이 적합성 시험에 사용된다.",,,,,,,,,,,,,,,
168,지형지물,,,실세계 현상의 추상화,,feature,valid,preferred,,"ISO 19101-1:2014, 4.1.11",1,ISO 19101:2002,1,피처,2008-12-30,,2010-10-12,final,,accepted,2014/11/01,Publication of ISO 19101-1:2014,Authoritative reference changed from ISO 19101:2002 to ISO 19101-1:2014. Lineage source added as ISO 19101:2002.,,비고: 피처는 유형이나 인스턴스로 나타난다. 피처 유형 및 피처 인스턴스는 단 한 가지의 의미를 갖도록 사용해야 한다.,,,,,,,,,,,,,,,1
169,지형지물 연관,,,동일하거나 혹은 서로 다른 피처 유형을 갖는 인스턴스들 간의 연관 관계,,feature association,valid,preferred,,ISO 19110:2005,1,KS X ISO 19110,,피처 연관,2009-12-30,,,,,,,,,,,,,,,,,,,,,,,,,
170,지형지물 속성,,,피처의 특징,,feature attribute,valid,preferred,,"ISO 19101-1:2014, 4.1.12",1,ISO 19101:2002,1,피처 속성,2008-12-30,,2010-10-12,final,,accepted,2014/11/01,Publication of ISO 19101-1:2014,Authoritative reference changed from ISO 19101:2002 to ISO 19101-1:2014. Lineage source added as ISO 19101:2002.,"보기 1: ""색상""이란 명칭을 가진 피처 속성은 그 속성 값으로 ""녹색""을 가질 수 있으며 데이터 유형은 ""문자""이다. ","비고 1: 피처 속성은 명칭, 데이터 유형, 관련된 영역의 데이터 유형을 갖는다.  피처 인스턴스를 위한 피처속성 또한 값 영역으로부터의 속성 값을 갖는다. ","보기 2: ""길이""란 명칭을 가진 피처 속성은 그 속성 값으로 ""82.4""를 가질 수 있으며 데이터 유형은 ""실수""이다.","비고 2: 지형지물 목록에서, 피처 속성은 값 영역을 포함하나 피처 인스턴스에 대한 속성값을 구체적으로 정의하지는 않는다.",,,,,,,,,,,,,1
854,지형지물 목록,,,"피처 유형, 피처 속성 및 여러 지리 데이터 집합 간의 피처 연관, 적용 가능한 피처 연산에 대한 정의와 설명을 담은 목록 ",,feature catalogue,valid,preferred,Being considered for supersession in revision of ISO 19110:2005 (ISO/DIS 19110:2013),"ISO 19101-1:2014, 4.1.13",1,ISO 19101:2002,2,피처 카탈로그,2008-12-30,,2012-01-26,pending,supersession,,,,Authoritative reference changed from ISO 19101:2002 to ISO 19101-1:2014. Lineage source added as ISO 19101:2002.,,,,,,,,,,,,,,,,,1
174,지형지물 분할,,,기존의 피처가 동일한 피처 유형의 별개 피처 인스턴스들로 대체되는 피처 갱신,,feature division,valid,preferred,,ISO 19108;2002,1,KS X ISO 19108,,피처 분할,2007-11-01,,,,,,,,,"보기: 피처 유형인 ""토지 구획""의 하나는 구획이 법적으로 분리될 때, 두 개로 나누어질 수 있다.",,,,,,,,,,,,,,,,
175,지형지물 융합,,,2개 이상의 기존 피처 인스턴스가 동일한 피처 유형의 단일 인스턴스로 대체되는 피처 갱신,,feature fusion,valid,preferred,,ISO 19108;2002,1,KS X ISO 19108,,피처 융합,2007-11-01,,,,,,,,,"보기: 피처 유형이 ""목장""인 두 인스턴스는 목장 사이의 담장이 제거되면 하나의 인스턴스로 대체된다.",,,,,,,,,,,,,,,,
177,지형지물 연산,,,피처 유형에 해당하는 모든 인스턴스에서 실행 가능한 연산,,feature operation,valid,preferred,,ISO 19110:2005,1,KS X ISO 19110,,피처 연산,2009-12-30,,,,,,,,,"보기: ""댐""에 대한 피처 연산은 댐을 높이는 것이다. 이 연산 결과 ""댐""의 높이와 ""저수지""의 수위가 올라간다. ",비고: 종종 피처 연산은 피처 유형의 정의를 위한 기초를 제공한다.,,,,,,,,,,,,,,,
178,지형지물 묘화규칙 집합,,,피처 인스턴스에 적용 가능한 묘화 규칙들의 모음,,feature portrayal rule set,retired,,,"ISO 19117:2005, 4.8",1,,,피처 묘화규칙 집합,2006-05-01,2012/12/15,2012-12-15,final,retirement,accepted,2012/12/15,Publication of ISO 19117:2012,The entry has been omitted from the superseding standard  (ISO 19117:2012).,,,,,,,,,,,,,,,,,-1
180,지형지물 치환,,,하나의 피처 인스턴스가 동일한 피처 유형 또는 다른 피처유형을 갖는 인스턴스로 바뀌는 피처 갱신,,feature substitution,valid,preferred,,ISO 19108;2002,1,KS X ISO 19108,,피처 치환,2007-11-01,,,,,,,,,"보기: 피처 유형이 ""빌딩""인 인스턴스를 없애고 피처 유형이 ""주차 부지"" 인 인스턴스로의 대체",,,,,,,,,,,,,,,,
181,지형지물 갱신,,,"하나 이상의 피처 인스턴스가 다른 피처 인스턴스로 대체되어, 앞선 피처 인스턴스가 없어짐",,feature succession,valid,preferred,,ISO 19108;2002,1,KS X ISO 19108,,피처 갱신,2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,
182,지형지물 테이블,,,"행은 피처 속성을 나타내고, 열은 피처를 나타내는 테이블",,feature table,valid,preferred,,ISO 19125-2:2004,1,KS X ISO 19125-2,,피처 테이블,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
186,파일,,,기억 또는 처리를 위해 명명된 레코드 집합의 단위,,file,valid,preferred,,ISO/IEC 2382-1:1993,1,"ISO 19118:2011 ,4.17",1,,2008-12-19,,2007-01-23,final,,accepted,2011/10/15,Publication of ISO 19118:2011,Lineage source changed from  ISO 19118:2005 to ISO 19118:2011.,,,,,,,,,,,,,,,,,1
187,편평률,f,,타원체의 장반경(a)과 단반경과(b)의 차이를 장반경으로 나눈 값; f=(a-b)/a ,,flattening,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,비고: 종종 역편평률 1/f=a/(a-b)이 대신한다.  1/f는 역편평률로 알려져 있다. ,,,,,,,,,,,,,,,
189,전수 검사,,,데이터셋 내의 모든 항목에 대한 검사,,full inspection,retired,,,"ISO 19114:2003, 4.5",1,,,,2009-12-29,2013/12/15,2013-12-15,final,retirement,accepted,2013/12/15,Publication of ISO 19157:2013,The entry has been omitted from the superseding standard  (ISO 19157:2013).,,비고: 전수 검사는 100% 검사로 알려져 있다. ,,,,,,,,,,,,,,,-1
